benchmark,algorithm,version,time,cost,solved
Corridors 4,A*+OD+ID,correct TSP cache (TU),5577,739,t
Corridors 4,BCP,heuristic-based waypoints 64 (TUD),214,820,t
Corridors 4,BCP,heuristic-based waypoints 64 (TUD),4503,860,t
Corridors 4,BCP,heuristic-based waypoints 64 (TUD),113581,695,t
Corridors 4,BCP,heuristic-based waypoints 64 (TUD),310478,762,t
Corridors 4,BCP,heuristic-based waypoints 64 (TUD),600025,839,t
Corridors 4,BCP,heuristic-based waypoints 64 (TUD),216165,874,t
Corridors 4,BCP,heuristic-based waypoints 64 (TUD),12823,1004,t
Corridors 4,BCP,heuristic-based waypoints 64 (TUD),16570,684,t
Corridors 4,BCP,heuristic-based waypoints 64 (TUD),24044,794,t
Corridors 4,BCP,heuristic-based waypoints 64 (TUD),434,723,t
Corridors 4,CBS,(TUD),3020,,f
Corridors 4,CBS,(TUD),3034,,f
Corridors 4,CBS,(TUD),3026,,f
Corridors 4,CBS,(TUD),3031,,f
Corridors 4,CBS,(TUD),3035,,f
Corridors 4,CBS,(TUD),510,808,t
Corridors 4,CBS,(TUD),,,f
Corridors 4,CBS,(TUD),881,846,t
Corridors 4,CBS,(TUD),3024,,f
Corridors 4,CBS,(TUD),3025,,f
Corridors 4,CBS,(TUD),3031,,f
Corridors 4,CBS,(TUD),,,f
Corridors 4,M*,Python inflated,1391,708,t
Corridors 4,M*,Python inflated,78,934,t
Corridors 4,M*,Python inflated,47,866,t
Corridors 4,M*,Python inflated,62,794,t
Corridors 4,M*,Python inflated,109,704,t
Corridors 4,M*,Python inflated,60953,,f
Corridors 4,M*,Python inflated,62,848,t
Corridors 4,M*,Python inflated,63,761,t
Corridors 4,M*,Python inflated,227,801,t
Corridors 4,M*,Python inflated,218,863,t
Corridors 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",97,1147,t
Corridors 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",93,1279,t
Corridors 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",123,1129,t
Corridors 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",98,1151,t
Corridors 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",120,1183,t
Corridors 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",105,1183,t
Corridors 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",105,1186,t
Corridors 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",195,1353,t
Corridors 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",134,1278,t
Corridors 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",96,1018,t
Corridors 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",217,1429,t
Corridors 5,A*+OD+ID,correct TSP cache (TU),2140,835,t
Corridors 5,A*+OD+ID,correct TSP cache (TU),123736,,f
Corridors 5,A*+OD+ID,correct TSP cache (TU),69072,997,t
Corridors 5,A*+OD+ID,correct TSP cache (TU),10338,935,t
Corridors 5,A*+OD+ID,correct TSP cache (TU),123042,,f
Corridors 5,A*+OD+ID,correct TSP cache (TU),110992,763,t
Corridors 5,A*+OD+ID,correct TSP cache (TU),125036,,f
Corridors 5,A*+OD+ID,correct TSP cache (TU),122490,,f
Corridors 5,A*+OD+ID,correct TSP cache (TU),122421,,f
Corridors 5,A*+OD+ID,correct TSP cache (TU),122811,,f
Corridors 5,BCP,heuristic-based waypoints 64 (TUD),4390,828,t
Corridors 5,BCP,heuristic-based waypoints 64 (TUD),619,816,t
Corridors 5,BCP,heuristic-based waypoints 64 (TUD),1518,867,t
Corridors 5,BCP,heuristic-based waypoints 64 (TUD),92155,926,t
Corridors 5,BCP,heuristic-based waypoints 64 (TUD),702,818,t
Corridors 5,BCP,heuristic-based waypoints 64 (TUD),24757,811,t
Corridors 5,BCP,heuristic-based waypoints 64 (TUD),154366,841,t
Corridors 5,BCP,heuristic-based waypoints 64 (TUD),600007,841,t
Corridors 5,BCP,heuristic-based waypoints 64 (TUD),14005,979,t
Corridors 5,BCP,heuristic-based waypoints 64 (TUD),212,866,t
Corridors 5,CBS,(TUD),3022,,f
Corridors 5,CBS,(TUD),3027,,f
Corridors 5,CBS,(TUD),613,894,t
Corridors 5,CBS,(TUD),3021,,f
Corridors 5,CBS,(TUD),398,870,t
Corridors 5,CBS,(TUD),3032,,f
Corridors 5,CBS,(TUD),3038,,f
Corridors 5,CBS,(TUD),3025,,f
Corridors 5,CBS,(TUD),3028,,f
Corridors 5,CBS,(TUD),3021,,f
Corridors 5,M*,Python inflated,11125,884,t
Corridors 5,M*,Python inflated,62,858,t
Corridors 5,M*,Python inflated,781,954,t
Corridors 5,M*,Python inflated,3060,791,t
Corridors 5,M*,Python inflated,286,898,t
Corridors 5,M*,Python inflated,47,897,t
Corridors 5,M*,Python inflated,109,784,t
Corridors 5,M*,Python inflated,47,916,t
Corridors 5,M*,Python inflated,812,894,t
Corridors 5,M*,Python inflated,687,812,t
Corridors 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",130,1498,t
Corridors 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",85,1021,t
Corridors 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",105,1243,t
Corridors 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",367,1673,t
Corridors 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",167,1491,t
Corridors 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",145,1437,t
Corridors 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",,,f
Corridors 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",152,1557,t
Corridors 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",77,1473,t
Corridors 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",76,1391,t
Corridors 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",72,1567,t
Corridors 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",74,1476,t
Corridors 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",,,f
Corridors 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",,,f
Corridors 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",95,1433,t
Corridors 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",269,1394,t
Overlapping Waypoints 1,A*+OD+ID,correct TSP cache (TU),209,276,t
Overlapping Waypoints 1,A*+OD+ID,correct TSP cache (TU),176,287,t
Overlapping Waypoints 1,A*+OD+ID,correct TSP cache (TU),26153,245,t
Overlapping Waypoints 1,A*+OD+ID,correct TSP cache (TU),531,221,t
Overlapping Waypoints 1,A*+OD+ID,correct TSP cache (TU),178,254,t
Overlapping Waypoints 1,A*+OD+ID,correct TSP cache (TU),343,314,t
Overlapping Waypoints 1,A*+OD+ID,correct TSP cache (TU),1380,240,t
Overlapping Waypoints 1,A*+OD+ID,correct TSP cache (TU),204,402,t
Overlapping Waypoints 1,A*+OD+ID,correct TSP cache (TU),734,276,t
Overlapping Waypoints 1,A*+OD+ID,correct TSP cache (TU),390,265,t
Overlapping Waypoints 1,BCP,heuristic-based waypoints 64 (TUD),14,349,t
Overlapping Waypoints 1,BCP,heuristic-based waypoints 64 (TUD),36,293,t
Overlapping Waypoints 1,BCP,heuristic-based waypoints 64 (TUD),22,203,t
Overlapping Waypoints 1,BCP,heuristic-based waypoints 64 (TUD),13,232,t
Overlapping Waypoints 1,BCP,heuristic-based waypoints 64 (TUD),7,293,t
Overlapping Waypoints 1,BCP,heuristic-based waypoints 64 (TUD),8,305,t
Overlapping Waypoints 1,BCP,heuristic-based waypoints 64 (TUD),10,283,t
Overlapping Waypoints 1,BCP,heuristic-based waypoints 64 (TUD),11,251,t
Overlapping Waypoints 1,BCP,heuristic-based waypoints 64 (TUD),9,261,t
Overlapping Waypoints 1,BCP,heuristic-based waypoints 64 (TUD),15,256,t
Overlapping Waypoints 1,CBS,(TUD),192,281,t
Overlapping Waypoints 1,CBS,(TUD),83,290,t
Overlapping Waypoints 1,CBS,(TUD),62,225,t
Overlapping Waypoints 1,CBS,(TUD),72,314,t
Overlapping Waypoints 1,CBS,(TUD),3031,,f
Overlapping Waypoints 1,CBS,(TUD),187,339,t
Overlapping Waypoints 1,CBS,(TUD),306,282,t
Overlapping Waypoints 1,CBS,(TUD),138,306,t
Overlapping Waypoints 1,CBS,(TUD),70,252,t
Overlapping Waypoints 1,M*,Python inflated,47,233,t
Overlapping Waypoints 1,M*,Python inflated,78,363,t
Overlapping Waypoints 1,M*,Python inflated,109,250,t
Overlapping Waypoints 1,M*,Python inflated,203,297,t
Overlapping Waypoints 1,M*,Python inflated,78,427,t
Overlapping Waypoints 1,M*,Python inflated,578,324,t
Overlapping Waypoints 1,M*,Python inflated,31,284,t
Overlapping Waypoints 1,M*,Python inflated,62,290,t
Overlapping Waypoints 1,M*,Python inflated,47,241,t
Overlapping Waypoints 1,M*,Python inflated,281,313,t
Overlapping Waypoints 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",65,341,t
Overlapping Waypoints 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",73,343,t
Overlapping Waypoints 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",45,404,t
Overlapping Waypoints 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",112,390,t
Overlapping Waypoints 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",54,345,t
Overlapping Waypoints 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",45,291,t
Overlapping Waypoints 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",37,328,t
Overlapping Waypoints 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",37,289,t
Overlapping Waypoints 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",45,229,t
Overlapping Waypoints 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",36,299,t
Overlapping Waypoints 1,Unordered MLA*,"log_time, resting, dist+nearest_dist",46,406,t
Overlapping Waypoints 2,A*+OD+ID,correct TSP cache (TU),262,301,t
Overlapping Waypoints 2,A*+OD+ID,correct TSP cache (TU),461,301,t
Overlapping Waypoints 2,A*+OD+ID,correct TSP cache (TU),12071,450,t
Overlapping Waypoints 2,A*+OD+ID,correct TSP cache (TU),976,341,t
Overlapping Waypoints 2,A*+OD+ID,correct TSP cache (TU),23283,316,t
Overlapping Waypoints 2,A*+OD+ID,correct TSP cache (TU),76966,498,t
Overlapping Waypoints 2,A*+OD+ID,correct TSP cache (TU),592,368,t
Overlapping Waypoints 2,A*+OD+ID,correct TSP cache (TU),7020,343,t
Overlapping Waypoints 2,A*+OD+ID,correct TSP cache (TU),9250,410,t
Overlapping Waypoints 2,A*+OD+ID,correct TSP cache (TU),596,410,t
Overlapping Waypoints 2,BCP,heuristic-based waypoints 64 (TUD),92,413,t
Overlapping Waypoints 2,BCP,heuristic-based waypoints 64 (TUD),12,365,t
Overlapping Waypoints 2,BCP,heuristic-based waypoints 64 (TUD),30,379,t
Overlapping Waypoints 2,BCP,heuristic-based waypoints 64 (TUD),620,423,t
Overlapping Waypoints 2,BCP,heuristic-based waypoints 64 (TUD),41,290,t
Overlapping Waypoints 2,BCP,heuristic-based waypoints 64 (TUD),36,393,t
Overlapping Waypoints 2,BCP,heuristic-based waypoints 64 (TUD),24,372,t
Overlapping Waypoints 2,BCP,heuristic-based waypoints 64 (TUD),21,358,t
Overlapping Waypoints 2,BCP,heuristic-based waypoints 64 (TUD),93,324,t
Overlapping Waypoints 2,BCP,heuristic-based waypoints 64 (TUD),54,370,t
Overlapping Waypoints 2,CBS,(TUD),785,468,t
Overlapping Waypoints 2,CBS,(TUD),147,465,t
Overlapping Waypoints 2,CBS,(TUD),168,405,t
Overlapping Waypoints 2,CBS,(TUD),2415,476,t
Overlapping Waypoints 2,CBS,(TUD),758,370,t
Overlapping Waypoints 2,CBS,(TUD),452,346,t
Overlapping Waypoints 2,CBS,(TUD),197,384,t
Overlapping Waypoints 2,CBS,(TUD),318,321,t
Overlapping Waypoints 2,CBS,(TUD),278,440,t
Overlapping Waypoints 2,M*,Python inflated,62,394,t
Overlapping Waypoints 2,M*,Python inflated,78,395,t
Overlapping Waypoints 2,M*,Python inflated,78,380,t
Overlapping Waypoints 2,M*,Python inflated,78,383,t
Overlapping Waypoints 2,M*,Python inflated,78,431,t
Overlapping Waypoints 2,M*,Python inflated,187,399,t
Overlapping Waypoints 2,M*,Python inflated,266,407,t
Overlapping Waypoints 2,M*,Python inflated,93,462,t
Overlapping Waypoints 2,M*,Python inflated,125,367,t
Overlapping Waypoints 2,M*,Python inflated,109,503,t
Overlapping Waypoints 2,Unordered MLA*,"log_time, resting, dist+nearest_dist",38,395,t
Overlapping Waypoints 2,Unordered MLA*,"log_time, resting, dist+nearest_dist",76,452,t
Overlapping Waypoints 2,Unordered MLA*,"log_time, resting, dist+nearest_dist",93,348,t
Overlapping Waypoints 2,Unordered MLA*,"log_time, resting, dist+nearest_dist",30,381,t
Overlapping Waypoints 2,Unordered MLA*,"log_time, resting, dist+nearest_dist",145,600,t
Overlapping Waypoints 2,Unordered MLA*,"log_time, resting, dist+nearest_dist",70,486,t
Overlapping Waypoints 2,Unordered MLA*,"log_time, resting, dist+nearest_dist",81,548,t
Overlapping Waypoints 2,Unordered MLA*,"log_time, resting, dist+nearest_dist",71,520,t
Overlapping Waypoints 2,Unordered MLA*,"log_time, resting, dist+nearest_dist",36,376,t
Overlapping Waypoints 2,Unordered MLA*,"log_time, resting, dist+nearest_dist",55,486,t
Overlapping Waypoints 2,Unordered MLA*,"log_time, resting, dist+nearest_dist",59,618,t
Overlapping Waypoints 3,A*+OD+ID,correct TSP cache (TU),8978,384,t
Overlapping Waypoints 3,A*+OD+ID,correct TSP cache (TU),33719,434,t
Overlapping Waypoints 3,A*+OD+ID,correct TSP cache (TU),8328,478,t
Overlapping Waypoints 3,A*+OD+ID,correct TSP cache (TU),9057,301,t
Overlapping Waypoints 3,A*+OD+ID,correct TSP cache (TU),13081,547,t
Overlapping Waypoints 3,A*+OD+ID,correct TSP cache (TU),32588,479,t
Overlapping Waypoints 3,A*+OD+ID,correct TSP cache (TU),123568,,f
Overlapping Waypoints 3,A*+OD+ID,correct TSP cache (TU),1450,465,t
Overlapping Waypoints 3,A*+OD+ID,correct TSP cache (TU),123521,,f
Overlapping Waypoints 3,A*+OD+ID,correct TSP cache (TU),57019,417,t
Overlapping Waypoints 3,BCP,heuristic-based waypoints 64 (TUD),14971,476,t
Overlapping Waypoints 3,BCP,heuristic-based waypoints 64 (TUD),307,518,t
Overlapping Waypoints 3,BCP,heuristic-based waypoints 64 (TUD),321,376,t
Overlapping Waypoints 3,BCP,heuristic-based waypoints 64 (TUD),1372,406,t
Overlapping Waypoints 3,BCP,heuristic-based waypoints 64 (TUD),1935,476,t
Overlapping Waypoints 3,BCP,heuristic-based waypoints 64 (TUD),937,429,t
Overlapping Waypoints 3,BCP,heuristic-based waypoints 64 (TUD),7690,516,t
Overlapping Waypoints 3,BCP,heuristic-based waypoints 64 (TUD),740,428,t
Overlapping Waypoints 3,BCP,heuristic-based waypoints 64 (TUD),1526,566,t
Overlapping Waypoints 3,BCP,heuristic-based waypoints 64 (TUD),1511,518,t
Overlapping Waypoints 3,CBS,(TUD),176,409,t
Overlapping Waypoints 3,CBS,(TUD),267,398,t
Overlapping Waypoints 3,CBS,(TUD),172,446,t
Overlapping Waypoints 3,CBS,(TUD),404,461,t
Overlapping Waypoints 3,CBS,(TUD),3035,,f
Overlapping Waypoints 3,CBS,(TUD),306,466,t
Overlapping Waypoints 3,CBS,(TUD),1066,507,t
Overlapping Waypoints 3,CBS,(TUD),1057,461,t
Overlapping Waypoints 3,CBS,(TUD),3019,,f
Overlapping Waypoints 3,M*,Python inflated,781,524,t
Overlapping Waypoints 3,M*,Python inflated,125,479,t
Overlapping Waypoints 3,M*,Python inflated,313,574,t
Overlapping Waypoints 3,M*,Python inflated,78,431,t
Overlapping Waypoints 3,M*,Python inflated,109,512,t
Overlapping Waypoints 3,M*,Python inflated,94,456,t
Overlapping Waypoints 3,M*,Python inflated,78,455,t
Overlapping Waypoints 3,M*,Python inflated,141,536,t
Overlapping Waypoints 3,M*,Python inflated,94,571,t
Overlapping Waypoints 3,M*,Python inflated,94,398,t
Overlapping Waypoints 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",80,715,t
Overlapping Waypoints 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",57,659,t
Overlapping Waypoints 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",40,511,t
Overlapping Waypoints 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",60,714,t
Overlapping Waypoints 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",72,558,t
Overlapping Waypoints 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",80,642,t
Overlapping Waypoints 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",60,599,t
Overlapping Waypoints 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",46,524,t
Overlapping Waypoints 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",46,408,t
Overlapping Waypoints 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",72,667,t
Overlapping Waypoints 3,Unordered MLA*,"log_time, resting, dist+nearest_dist",50,508,t
Overlapping Waypoints 4,A*+OD+ID,correct TSP cache (TU),576,599,t
Overlapping Waypoints 4,A*+OD+ID,correct TSP cache (TU),602,479,t
Overlapping Waypoints 4,A*+OD+ID,correct TSP cache (TU),17473,566,t
Overlapping Waypoints 4,A*+OD+ID,correct TSP cache (TU),659,423,t
Overlapping Waypoints 4,A*+OD+ID,correct TSP cache (TU),5637,544,t
Overlapping Waypoints 4,A*+OD+ID,correct TSP cache (TU),2192,442,t
Overlapping Waypoints 4,A*+OD+ID,correct TSP cache (TU),29087,500,t
Overlapping Waypoints 4,A*+OD+ID,correct TSP cache (TU),456,475,t
Overlapping Waypoints 4,A*+OD+ID,correct TSP cache (TU),503,419,t
Overlapping Waypoints 4,A*+OD+ID,correct TSP cache (TU),793,480,t
Overlapping Waypoints 4,BCP,heuristic-based waypoints 64 (TUD),6806,507,t
Overlapping Waypoints 4,BCP,heuristic-based waypoints 64 (TUD),17183,554,t
Overlapping Waypoints 4,BCP,heuristic-based waypoints 64 (TUD),8272,396,t
Overlapping Waypoints 4,BCP,heuristic-based waypoints 64 (TUD),7739,483,t
Overlapping Waypoints 4,BCP,heuristic-based waypoints 64 (TUD),1118,462,t
Overlapping Waypoints 4,BCP,heuristic-based waypoints 64 (TUD),1591,484,t
Overlapping Waypoints 4,BCP,heuristic-based waypoints 64 (TUD),2909,602,t
Overlapping Waypoints 4,BCP,heuristic-based waypoints 64 (TUD),2423,545,t
Overlapping Waypoints 4,BCP,heuristic-based waypoints 64 (TUD),3387,549,t
Overlapping Waypoints 4,BCP,heuristic-based waypoints 64 (TUD),732,512,t
Overlapping Waypoints 4,CBS,(TUD),406,437,t
Overlapping Waypoints 4,CBS,(TUD),704,544,t
Overlapping Waypoints 4,CBS,(TUD),526,579,t
Overlapping Waypoints 4,CBS,(TUD),250,521,t
Overlapping Waypoints 4,CBS,(TUD),1100,542,t
Overlapping Waypoints 4,CBS,(TUD),277,604,t
Overlapping Waypoints 4,CBS,(TUD),955,608,t
Overlapping Waypoints 4,CBS,(TUD),270,529,t
Overlapping Waypoints 4,CBS,(TUD),1144,506,t
Overlapping Waypoints 4,M*,Python inflated,156,514,t
Overlapping Waypoints 4,M*,Python inflated,312,523,t
Overlapping Waypoints 4,M*,Python inflated,156,532,t
Overlapping Waypoints 4,M*,Python inflated,171,564,t
Overlapping Waypoints 4,M*,Python inflated,141,549,t
Overlapping Waypoints 4,M*,Python inflated,156,539,t
Overlapping Waypoints 4,M*,Python inflated,453,530,t
Overlapping Waypoints 4,M*,Python inflated,156,402,t
Overlapping Waypoints 4,M*,Python inflated,562,607,t
Overlapping Waypoints 4,M*,Python inflated,156,556,t
Overlapping Waypoints 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",112,554,t
Overlapping Waypoints 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",70,776,t
Overlapping Waypoints 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",85,812,t
Overlapping Waypoints 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",77,778,t
Overlapping Waypoints 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",60,683,t
Overlapping Waypoints 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",89,875,t
Overlapping Waypoints 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",100,889,t
Overlapping Waypoints 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",112,712,t
Overlapping Waypoints 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",120,672,t
Overlapping Waypoints 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",114,677,t
Overlapping Waypoints 4,Unordered MLA*,"log_time, resting, dist+nearest_dist",102,718,t
Overlapping Waypoints 5,A*+OD+ID,correct TSP cache (TU),125386,,f
Overlapping Waypoints 5,A*+OD+ID,correct TSP cache (TU),121378,,f
Overlapping Waypoints 5,A*+OD+ID,correct TSP cache (TU),79601,456,t
Overlapping Waypoints 5,A*+OD+ID,correct TSP cache (TU),899,504,t
Overlapping Waypoints 5,A*+OD+ID,correct TSP cache (TU),5305,511,t
Overlapping Waypoints 5,A*+OD+ID,correct TSP cache (TU),124432,,f
Overlapping Waypoints 5,A*+OD+ID,correct TSP cache (TU),870,587,t
Overlapping Waypoints 5,A*+OD+ID,correct TSP cache (TU),2535,590,t
Overlapping Waypoints 5,A*+OD+ID,correct TSP cache (TU),123719,,f
Overlapping Waypoints 5,A*+OD+ID,correct TSP cache (TU),121339,,f
Overlapping Waypoints 5,BCP,heuristic-based waypoints 64 (TUD),13216,457,t
Overlapping Waypoints 5,BCP,heuristic-based waypoints 64 (TUD),7146,454,t
Overlapping Waypoints 5,BCP,heuristic-based waypoints 64 (TUD),19947,525,t
Overlapping Waypoints 5,BCP,heuristic-based waypoints 64 (TUD),600916,585,t
Overlapping Waypoints 5,BCP,heuristic-based waypoints 64 (TUD),340053,610,t
Overlapping Waypoints 5,BCP,heuristic-based waypoints 64 (TUD),23479,521,t
Overlapping Waypoints 5,BCP,heuristic-based waypoints 64 (TUD),101682,526,t
Overlapping Waypoints 5,BCP,heuristic-based waypoints 64 (TUD),601075,502,t
Overlapping Waypoints 5,BCP,heuristic-based waypoints 64 (TUD),42273,523,t
Overlapping Waypoints 5,BCP,heuristic-based waypoints 64 (TUD),12643,559,t
Overlapping Waypoints 5,CBS,(TUD),3036,,f
Overlapping Waypoints 5,CBS,(TUD),913,684,t
Overlapping Waypoints 5,CBS,(TUD),1015,493,t
Overlapping Waypoints 5,CBS,(TUD),1118,400,t
Overlapping Waypoints 5,CBS,(TUD),728,599,t
Overlapping Waypoints 5,CBS,(TUD),2090,559,t
Overlapping Waypoints 5,CBS,(TUD),3030,,f
Overlapping Waypoints 5,CBS,(TUD),860,541,t
Overlapping Waypoints 5,CBS,(TUD),1453,565,t
Overlapping Waypoints 5,M*,Python inflated,375,450,t
Overlapping Waypoints 5,M*,Python inflated,547,570,t
Overlapping Waypoints 5,M*,Python inflated,391,658,t
Overlapping Waypoints 5,M*,Python inflated,391,573,t
Overlapping Waypoints 5,M*,Python inflated,375,602,t
Overlapping Waypoints 5,M*,Python inflated,484,506,t
Overlapping Waypoints 5,M*,Python inflated,375,451,t
Overlapping Waypoints 5,M*,Python inflated,469,630,t
Overlapping Waypoints 5,M*,Python inflated,828,622,t
Overlapping Waypoints 5,M*,Python inflated,3969,549,t
Overlapping Waypoints 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",88,815,t
Overlapping Waypoints 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",83,922,t
Overlapping Waypoints 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",68,661,t
Overlapping Waypoints 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",106,903,t
Overlapping Waypoints 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",103,790,t
Overlapping Waypoints 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",107,825,t
Overlapping Waypoints 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",87,890,t
Overlapping Waypoints 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",108,902,t
Overlapping Waypoints 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",120,1001,t
Overlapping Waypoints 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",82,909,t
Overlapping Waypoints 5,Unordered MLA*,"log_time, resting, dist+nearest_dist",123,895,t
